influencer,comment,sentiment,likes,shares,platform,cost,engagement,roi
 FoodieGoneWrong , Disappointed with the service at a local restaurant.    , Disappointed ,35.0,18.0, Twitter  ,3000.0,89.0,0.029666666666666668
 HappySurprise   , A surprise gift from a friend made my day!              , Surprise     ,50.0,25.0, Instagram ,3000.0,125.0,0.041666666666666664
 AcceptanceSeeker, Finding acceptance in the midst of life's challenges.   , Acceptance   ,30.0,15.0, Facebook ,3000.0,75.0,0.025
 PetAdorer       , Overflowing with adoration for my adorable pet! 🐾      , Adoration    ,45.0,22.0, Twitter  ,3000.0,111.0,0.037
 AdventureAwaits  , Anticipating a thrilling adventure in the coming weeks. , Anticipation ,40.0,20.0, Instagram ,3000.0,100.0,0.03333333333333333
 LearnFromBitter , A bitter experience turned into a valuable lesson.      , Bitter       ,35.0,18.0, Facebook ,3000.0,89.0,0.029666666666666668
 ZenMaster       , Finding calmness in the midst of a busy day.            , Calmness     ,30.0,15.0, Twitter  ,3000.0,75.0,0.025
 ConfusedMind    , Confusion clouds my mind as I navigate through decisions., Confusion    ,50.0,25.0, Instagram ,3000.0,125.0,0.041666666666666664
 VacationDreamer , Excitement building up for the upcoming vacation!       , Excitement   ,45.0,22.0, Facebook ,3000.0,111.0,0.037
 KindnessPrevails, Kindness witnessed today restored my faith in humanity. , Kind         ,40.0,20.0, Twitter  ,3000.0,100.0,0.03333333333333333
 PersonalAchiever, Pride in achieving a personal milestone.               , Pride        ,60.0,30.0, Instagram ,3000.0,150.0,0.05
 ReflectiveSelf  , A moment of shame for not standing up against injustice. , Shame        ,30.0,15.0, Facebook ,3000.0,75.0,0.025
 AngryDebater    , Fuming with anger after a heated argument.            , Anger        ,40.0,20.0, Twitter  ,3000.0,100.0,0.03333333333333333
 FearfulDreamer  , The fear of the unknown is keeping me up at night.    , Fear         ,30.0,15.0, Instagram ,3000.0,75.0,0.025
 FarewellHeart   , Heartfelt sadness after bidding farewell to a dear friend. , Sadness      ,50.0,25.0, Facebook ,3000.0,125.0,0.041666666666666664
 AntiCorruption  , The state of corruption in our society is utterly disgusting. , Disgust      ,35.0,18.0, Twitter  ,3000.0,89.0,0.029666666666666668
 NewParentJoy    , Overflowing happiness: welcoming a new family member!  , Happiness    ,60.0,30.0, Instagram ,3000.0,150.0,0.05
 StandUpFan      , Laughter is the key to joy—attending a stand-up comedy show. , Joy          ,45.0,22.0, Facebook ,3000.0,111.0,0.037
 LoveSender      , Sending love to all my followers on this beautiful day! ❤️ , Love         ,30.0,15.0, Twitter  ,3000.0,75.0,0.025
 PetAmuser       , Amused by the antics of my pet—it's pure amusement!      , Amusement    ,35.0,18.0, Instagram ,3000.0,89.0,0.029666666666666668
 TravelExplorer  , Enjoying every moment of this trip—pure enjoyment!      , Enjoyment    ,50.0,25.0, Facebook ,3000.0,125.0,0.041666666666666664
 CharityAdmirer  , Admiring the dedication of volunteers at a local charity. , Admiration   ,40.0,20.0, Twitter  ,3000.0,100.0,0.03333333333333333
 FamilyLover     , Sending affectionate vibes to friends and family.        , Affection    ,30.0,15.0, Instagram ,3000.0,75.0,0.025
 Stargazer       , Awe-struck by the beauty of the night sky.               , Awe          ,45.0,22.0, Facebook ,3000.0,111.0,0.037
 ProjectStruggle , Disappointed with the lack of progress in a personal project. , Disappointed ,35.0,18.0, Twitter  ,3000.0,89.0,0.029666666666666668
 JoyfulReunion   , A surprise visit from an old friend brought tears of joy. , Surprise     ,50.0,25.0, Instagram ,3000.0,125.0,0.041666666666666664
 LifeAcceptance  , Embracing acceptance of life's ups and downs.           , Acceptance   ,30.0,15.0, Facebook ,3000.0,75.0,0.025
 PuppyAdmirer    , Overflowing adoration for a cute rescue puppy! 🐶       , Adoration    ,45.0,22.0, Twitter  ,3000.0,111.0,0.037
 MovieBuff2      , Anticipating the release of a much-awaited movie.       , Anticipation ,40.0,20.0, Instagram ,3000.0,100.0,0.03333333333333333
 CustomerWoes    , Bitter experience at the customer service department.   , Bitter       ,35.0,18.0, Facebook ,3000.0,89.0,0.029666666666666668
 CalmSoul        , Finding calmness amidst the chaos of daily life.        , Calmness     ,30.0,15.0, Twitter  ,3000.0,75.0,0.025
 ConfusedMind2   , Confusion reigns as I try to make sense of recent events., Confusion    ,50.0,25.0, Instagram ,3000.0,125.0,0.041666666666666664
 BirthdayExcite  , Excitement building up for a surprise birthday party.   , Excitement   ,45.0,22.0, Facebook ,3000.0,111.0,0.037
 KindnessObserver, Witnessed an act of kindness that made my day.          , Kind         ,40.0,20.0, Twitter  ,3000.0,100.0,0.03333333333333333
 FitAchiever     , Pride in completing a challenging fitness challenge.    , Pride        ,60.0,30.0, Instagram ,3000.0,150.0,0.05
 ReflectiveSelf2 , A moment of shame for not speaking up against injustice., Shame        ,30.0,15.0, Facebook ,3000.0,75.0,0.025
 DiversityLover  , Reflecting on the beauty of diversity in our world.     , Acceptance   ,45.0,22.0, Twitter  ,3000.0,111.0,0.037
 BookwormJoy     , Excitement for a quiet evening with a good book.        , Excitement   ,35.0,18.0, Instagram ,3000.0,89.0,0.029666666666666668
 WorkplaceWoes   , Feeling bitter about the unfairness in the workplace.   , Bitter       ,30.0,15.0, Twitter  ,3000.0,75.0,0.025
 MindfulMe       , Calmness prevails as I practice mindfulness.            , Calmness     ,30.0,15.0, Facebook ,3000.0,75.0,0.025
 ConfusedMind3   , Confusion surrounds me as I navigate through life's choices. , Confusion ,60.0,30.0, Instagram ,3000.0,150.0,0.05
 RoadTripper2    , Excitement for a weekend road trip to explore new places. , Excitement ,50.0,25.0, Twitter  ,3000.0,125.0,0.041666666666666664
 KindnessPrevails2, Kindness witnessed today restores my faith in humanity.  , Kind         ,45.0,22.0, Facebook ,3000.0,111.0,0.037
 GoalAchiever    , Pride in accomplishing personal and professional goals.  , Pride        ,25.0,12.0, Instagram ,3000.0,61.0,0.02033333333333333
 ReflectiveSelf3 , Shame for not being true to my values in a difficult situation., Shame ,30.0,15.0, Twitter  ,3000.0,75.0,0.025
 NostalgiaFan    ," Revisiting old memories, feeling a sense of elation. ", Elation       ,40.0,20.0, Twitter  ,3000.0,100.0,0.03333333333333333
 SportsFanatic   , The victory of our team brought euphoria to the city. , Euphoria      ,30.0,15.0, Instagram ,3000.0,75.0,0.025
 NatureLover2    ," Embracing the beauty of nature, a moment of contentment. ", Contentment   ,50.0,25.0, Facebook ,3000.0,125.0,0.041666666666666664
 ZenMaster2      ," Meditating by the serene lake, finding inner peace.   ", Serenity      ,35.0,18.0, Twitter  ,3000.0,89.0,0.029666666666666668
 ThankfulHeart   , Overflowing with gratitude for life's blessings.      , Gratitude     ,60.0,30.0, Instagram ,3000.0,150.0,0.05
 OptimisticSoul  ," Hopeful for a brighter tomorrow, despite challenges.  ", Hope          ,45.0,22.0, Facebook ,3000.0,111.0,0.037
 CommunityLeader , Empowered to make a difference in my community.        , Empowerment   ,30.0,15.0, Twitter  ,3000.0,75.0,0.025
 CharitySupporter, Compassion in action: supporting a local charity event. , Compassion    ,35.0,18.0, Instagram ,3000.0,89.0,0.029666666666666668
 LovingHeart     ," A moment of tenderness, connecting with loved ones.    ", Tenderness    ,50.0,25.0, Facebook ,3000.0,125.0,0.041666666666666664
 ExcitementFan   , Arousal of excitement as I await a special announcement., Arousal       ,40.0,20.0, Twitter  ,3000.0,100.0,0.03333333333333333
 ProjectEnthusiast, Enthusiastically diving into a new project.            , Enthusiasm    ,30.0,15.0, Instagram ,3000.0,75.0,0.025
 MilestoneAchiever, Feeling a sense of fulfillment after reaching a milestone., Fulfillment  ,45.0,22.0, Facebook ,3000.0,111.0,0.037
 HistoryLover    , Reverence for the beauty of a historic landmark.       , Reverence     ,35.0,18.0, Twitter  ,3000.0,89.0,0.029666666666666668
 JoyfulReunion2  , Elation after a surprise reunion with old friends.    , Elation       ,50.0,25.0, Instagram ,3000.0,125.0,0.041666666666666664
 MusicEnthusiast , The euphoria of a live music concert under the stars.  , Euphoria      ,30.0,15.0, Facebook ,3000.0,75.0,0.025
 SimpleJoys      , Contentment in the simplicity of a quiet Sunday.       , Contentment   ,60.0,30.0, Twitter  ,3000.0,150.0,0.05
 BookLover3      , Serenity found in the pages of a favorite book.        , Serenity      ,45.0,22.0, Instagram ,3000.0,111.0,0.037
 SupportiveFriend, Gratitude for the support received during tough times. , Gratitude     ,30.0,15.0, Facebook ,3000.0,75.0,0.025
 JourneyOptimist , Hopeful about the possibilities of a new journey.      , Hope          ,35.0,18.0, Twitter  ,3000.0,89.0,0.029666666666666668
 GrowthSeeker    , Empowerment through learning and personal growth.      , Empowerment   ,50.0,25.0, Instagram ,3000.0,125.0,0.041666666666666664
 HolidayHelper   , Compassion towards those in need during the holidays.  , Compassion    ,35.0,18.0, Facebook ,3000.0,89.0,0.029666666666666668
 WinterWarmth    , Tenderness in the warmth of a cozy winter evening.     , Tenderness    ,50.0,25.0, Twitter  ,3000.0,125.0,0.041666666666666664
 AdventureAwaits , Arousal of excitement for an upcoming adventure.       , Arousal       ,40.0,20.0, Instagram ,3000.0,100.0,0.03333333333333333
 CreativeSpirit  , Enthusiasm for a creative project in the making.       , Enthusiasm    ,30.0,15.0, Facebook ,3000.0,75.0,0.025
 FitnessAchiever , Fulfillment in completing a challenging workout routine., Fulfillment  ,45.0,22.0, Twitter  ,3000.0,111.0,0.037
 ArtAppreciator  , Reverence for the artistry displayed in a museum.      , Reverence     ,35.0,18.0, Instagram ,3000.0,89.0,0.029666666666666668
 GoalAchiever2   , Elation after achieving a personal goal.               , Elation       ,50.0,25.0, Facebook ,3000.0,125.0,0.041666666666666664
 UrbanExplorer2  , Elation over discovering a hidden gem in the city.   , Elation       ,40.0,20.0, Twitter  ,3000.0,100.0,0.03333333333333333
 BirthdayJoy     , The euphoria of a surprise birthday celebration.     , Euphoria      ,30.0,15.0, Instagram ,3000.0,75.0,0.025
 HomeChef        , Contentment in the simplicity of a home-cooked meal. , Contentment   ,50.0,25.0, Facebook ,3000.0,125.0,0.041666666666666664
 MusicLover4     , Serenity found in the melody of a peaceful piano.    , Serenity      ,35.0,18.0, Twitter  ,3000.0,89.0,0.029666666666666668
 CommunityLove   , Gratitude for the supportive community around me.    , Gratitude     ,60.0,30.0, Instagram ,3000.0,150.0,0.05
 EntrepreneurHope, Hopeful about the prospects of a new business venture., Hope          ,45.0,22.0, Facebook ,3000.0,111.0,0.037
 MentorEmpower   , Empowerment through mentoring and guiding others.    , Empowerment   ,30.0,15.0, Twitter  ,3000.0,75.0,0.025
 KindnessInAction, Compassion shown through acts of kindness in the community., Compassion,35.0,18.0, Instagram ,3000.0,89.0,0.029666666666666668
 LoveExpress     , Tenderness in a heartfelt message to a loved one.    , Tenderness    ,50.0,25.0, Facebook ,3000.0,125.0,0.041666666666666664
 TravelExcitement, Arousal of excitement before a much-awaited trip.    , Arousal       ,40.0,20.0, Twitter  ,3000.0,100.0,0.03333333333333333
 ArtisticSpirit  , Enthusiasm for a new artistic project in the works.  , Enthusiasm    ,30.0,15.0, Instagram ,3000.0,75.0,0.025
 HelperHeart     , Feeling a sense of fulfillment after helping others. , Fulfillment   ,45.0,22.0, Facebook ,3000.0,111.0,0.037
 HistoryBuff     , Reverence for the historical significance of a landmark., Reverence ,35.0,18.0, Twitter  ,3000.0,89.0,0.029666666666666668
 FitnessAchiever2, Elation after achieving a fitness milestone.         , Elation       ,50.0,25.0, Instagram ,3000.0,125.0,0.041666666666666664
 ProductLaunchJoy, The euphoria of a successful product launch.         , Euphoria      ,30.0,15.0, Facebook ,3000.0,75.0,0.025
 LovingEmbrace   , Contentment in the embrace of a loved one.           , Contentment   ,60.0,30.0, Twitter  ,3000.0,150.0,0.05
 SunsetWatcher2  , Serenity found in the beauty of a sunset by the sea.  , Serenity      ,45.0,22.0, Instagram ,3000.0,111.0,0.037
 JoyfulHeart2    , Gratitude for the small joys that each day brings.   , Gratitude     ,30.0,15.0, Facebook ,3000.0,75.0,0.025
 GrowthOptimist  , Hopeful about the potential for personal growth.      , Hope          ,35.0,18.0, Twitter  ,3000.0,89.0,0.029666666666666668
 SkillEmpower    , Empowerment through learning a new skill.            , Empowerment   ,50.0,25.0, Instagram ,3000.0,125.0,0.041666666666666664
 CharityVolunteer, Compassion in volunteering for a local charity.       , Compassion    ,35.0,18.0, Facebook ,3000.0,89.0,0.029666666666666668
 PetLove         , Tenderness in a quiet moment shared with a pet.      , Tenderness    ,50.0,25.0, Twitter  ,3000.0,125.0,0.041666666666666664
 FestivalFan     , Arousal of excitement for an upcoming festival.       , Arousal       ,40.0,20.0, Instagram ,3000.0,100.0,0.03333333333333333
 DIYEnthusiast   , Enthusiasm for a DIY home improvement project.       , Enthusiasm    ,30.0,15.0, Facebook ,3000.0,75.0,0.025
 PuzzleMaster    , Fulfillment in completing a challenging puzzle.      , Fulfillment   ,45.0,22.0, Twitter  ,3000.0,111.0,0.037
 NatureAdmirer   , Reverence for the wonders of nature on a hiking trail., Reverence ,35.0,18.0, Instagram ,3000.0,89.0,0.029666666666666668
 ChildhoodJoy    , Elation after a surprise reunion with a childhood friend., Elation   ,50.0,25.0, Facebook ,3000.0,125.0,0.041666666666666664
 StrugglingSoul    , Suffering from despair after another setback.      , Despair         ,10.0,5.0, Twitter  ,3000.0,25.0,0.008333333333333333
 MourningHeart     ," Overwhelmed by grief, missing a loved one dearly.  ", Grief           ,15.0,8.0, Instagram ,3000.0,39.0,0.013
 SolitarySoul      , Loneliness creeps in as the night grows colder.    , Loneliness      ,20.0,10.0, Facebook ,3000.0,50.0,0.016666666666666666
 EnviousObserver   , Jealousy consumes me as I witness others' success. , Jealousy        ,25.0,12.0, Twitter  ,3000.0,61.0,0.02033333333333333
 BitterHeart       , Resentment building up over past betrayals.        , Resentment      ,15.0,7.0, Instagram ,3000.0,36.0,0.012
 BlockedGoals      , Frustration mounts as obstacles block my path.     , Frustration     ,20.0,10.0, Facebook ,3000.0,50.0,0.016666666666666666
 BoredMind         ," Boredom sets in, the day feels endlessly dull.     ", Boredom         ,15.0,8.0, Twitter  ,3000.0,39.0,0.013
 WorriedMind       ," Anxiety grips my heart, worry clouds my thoughts.  ", Anxiety         ,25.0,12.0, Instagram ,3000.0,61.0,0.02033333333333333
 FearfulSoul       , Intimidation by the unknown future ahead.          , Intimidation    ,30.0,15.0, Facebook ,3000.0,75.0,0.025
 OverwhelmedHeart  , Helplessness sinks in as challenges pile up.       , Helplessness    ,15.0,8.0, Twitter  ,3000.0,39.0,0.013
 CovetousMind     , Envy eats away at me as I see others' prosperity.  , Envy            ,20.0,10.0, Instagram ,3000.0,50.0,0.016666666666666666
 RemorsefulSoul   , Regret over missed opportunities haunts my thoughts., Regret         ,25.0,12.0, Facebook ,3000.0,61.0,0.02033333333333333
 DisgustedHeart   , Disgust at the sight of injustice and cruelty.     , Disgust         ,15.0,7.0, Twitter  ,3000.0,36.0,0.012
 HopelessHeart    ," Drowning in despair, hope slipping through my fingers.", Despair      ,20.0,10.0, Instagram ,3000.0,50.0,0.016666666666666666
 TearfulSoul      ," Grief weighs heavy, tears a constant companion.    ", Grief           ,25.0,12.0, Facebook ,3000.0,61.0,0.02033333333333333
 IsolatedMind     ," Loneliness in a crowded room, a silent cry for connection.", Loneliness ,30.0,15.0, Twitter  ,3000.0,75.0,0.025
 SelfDoubt        ," Jealousy gnaws at my confidence, a toxic emotion.  ", Jealousy        ,15.0,8.0, Instagram ,3000.0,39.0,0.013
 BrokenTrust      ," Resentment festers, poisoning relationships.       ", Resentment      ,20.0,10.0, Facebook ,3000.0,50.0,0.016666666666666666
 ExplosiveMind    ," Frustration boils over, a volcanic eruption of emotions.", Frustration ,25.0,12.0, Twitter  ,3000.0,61.0,0.02033333333333333
 MundaneHeart     ," Boredom settles like dust, life feels mundane.     ", Boredom         ,15.0,7.0, Instagram ,3000.0,36.0,0.012
 RestlessMind     ," Anxiety grips my chest, a relentless grip on my thoughts.", Anxiety   ,20.0,10.0, Facebook ,3000.0,50.0,0.016666666666666666
 FearfulJourney   ," Intimidation by the challenges ahead, fear takes hold.", Intimidation ,30.0,15.0, Twitter  ,3000.0,75.0,0.025
 OverwhelmedSoul  ," Helplessness engulfs me, drowning in a sea of problems.", Helplessness ,15.0,8.0, Instagram ,3000.0,39.0,0.013
 GreenEyedMonster ," Envy poisons my thoughts, coveting others' success.", Envy            ,20.0,10.0, Facebook ,3000.0,50.0,0.016666666666666666
 RegretfulMind    , Regret for decisions that led to a painful present., Regret         ,25.0,12.0, Twitter  ,3000.0,61.0,0.02033333333333333
 CorruptedHeart   , Disgust at the corruption that stains society.     , Disgust         ,15.0,7.0, Instagram ,3000.0,36.0,0.012
 DrowningSoul     ," Sinking in despair, each day darker than the last. ", Despair         ,20.0,10.0, Facebook ,3000.0,50.0,0.016666666666666666
 StormyHeart      ," Grief overwhelms, a storm of emotions within.      ", Grief           ,25.0,12.0, Twitter  ,3000.0,61.0,0.02033333333333333
 EchoingSoul     ," Loneliness echoes in empty spaces, yearning for connection.", Loneliness ,30.0,15.0, Instagram ,3000.0,75.0,0.025
 PoisonedMind    ," Jealousy poisons my thoughts, resentment brewing within.", Jealousy    ,15.0,8.0, Facebook ,3000.0,39.0,0.013
 UnforgivingSoul  ," Resentment festers, a wound that refuses to heal.  ", Resentment      ,20.0,10.0, Twitter  ,3000.0,50.0,0.016666666666666666
 ThunderingMind   ," Frustration escalates, a thunderstorm of emotions. ", Frustration     ,25.0,12.0, Instagram ,3000.0,61.0,0.02033333333333333
 StagnantHeart    ," Boredom lingers, a stagnant pool of indifference.  ", Boredom         ,15.0,7.0, Facebook ,3000.0,36.0,0.012
 InquisitiveMind   ," Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge. ", Curiosity       ,30.0,15.0, Twitter  ,3000.0,75.0,0.025
 ApatheticObserver ," Lost in the vast sea of information, an indifferent wave in the digital ocean. ", Indifference    ,15.0,7.0, Instagram ,3000.0,36.0,0.012
 SeekingClarity    ," The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos. ", Confusion       ,20.0,10.0, Facebook ,3000.0,50.0,0.016666666666666666
 EmotionallyDistant ," A numbness settles over me, a shield against the overwhelming emotions life throws my way. ", Numbness        ,15.0,8.0, Twitter  ,3000.0,39.0,0.013
 SunsetDreamer     ," Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. ", Melancholy      ,25.0,12.0, Instagram ,3000.0,61.0,0.02033333333333333
 MemoryLaneTraveler ," Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony. ", Nostalgia       ,20.0,10.0, Facebook ,3000.0,50.0,0.016666666666666666
 MixedFeelings     ," Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty. ", Ambivalence     ,25.0,12.0, Twitter  ,3000.0,61.0,0.02033333333333333
 ZenLifestyle      ," Embracing the ebb and flow of life, finding acceptance in the dance of existence. ", Acceptance      ,30.0,15.0, Instagram ,3000.0,75.0,0.025
 ResilientSpirit   ," Facing challenges head-on, a determination that fuels the fire within to achieve the impossible. ", Determination   ,20.0,10.0, Facebook ,3000.0,50.0,0.016666666666666666
 NatureSoul        ," Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world. ", Serenity        ,25.0,12.0, Twitter  ,3000.0,61.0,0.02033333333333333
 EternalLearner    ," Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom. ", Curiosity       ,40.0,20.0, Instagram ,3000.0,100.0,0.03333333333333333
 AloofObserver     ," Floating through the day with an air of indifference, detached from the mundane happenings around. ", Indifference    ,20.0,10.0, Facebook ,3000.0,50.0,0.016666666666666666
 ThoughtExplorer   ," Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas. ", Confusion       ,30.0,15.0, Twitter  ,3000.0,75.0,0.025
 StoicSoul         ," Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. ", Numbness        ,15.0,8.0, Instagram ,3000.0,39.0,0.013
